Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
De'Anthony Melton,MEM,vs.MIL,2020-08-13,W,20,5,2,6,33.3,0,3,0.0,1,2,50.0,0,2,2,2,0,0,0,1,-12,0,0,10.5
Khris Middleton,MIL,@MEM,2020-08-13,L,21,14,5,13,38.5,0,1,0.0,4,5,80.0,0,4,4,4,0,0,3,1,-18,0,0,23.5
Pat Connaughton,MIL,@MEM,2020-08-13,L,16,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,1,0,1,2,-13,0,0,4.75
D.J. Wilson,MIL,@MEM,2020-08-13,L,30,12,5,10,50.0,2,5,40.0,0,0,-,1,7,8,1,1,0,1,1,-9,0,0,26.0
Anthony Tolliver,MEM,vs.MIL,2020-08-13,W,20,9,3,5,60.0,3,5,60.0,0,0,-,1,3,4,2,1,0,1,1,14,0,0,20.0
Gorgui Dieng,MEM,vs.MIL,2020-08-13,W,15,7,1,6,16.7,1,3,33.3,4,4,100,1,3,4,1,0,0,1,1,-5,0,0,13.5
Dillon Brooks,MEM,vs.MIL,2020-08-13,W,33,31,12,18,66.7,4,7,57.1,3,5,60.0,0,2,2,2,0,1,1,0,27,0,0,40.0
Jonas Valanciunas,MEM,vs.MIL,2020-08-13,W,33,26,11,17,64.7,2,3,66.7,2,2,100,3,16,19,12,0,0,3,3,18,1,1,71.75
Ja Morant,MEM,vs.MIL,2020-08-13,W,34,12,5,17,29.4,0,4,0.0,2,2,100,4,9,13,10,0,0,6,3,15,1,1,44.75
John Konchar,MEM,vs.MIL,2020-08-13,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0,0,0.0
Eric Bledsoe,MIL,@MEM,2020-08-13,L,20,3,1,7,14.3,0,2,0.0,1,2,50.0,0,1,1,5,2,0,1,2,-17,0,0,15.25
Kyle Anderson,MEM,vs.MIL,2020-08-13,W,29,10,3,6,50.0,2,4,50.0,2,4,50.0,0,3,3,6,2,1,3,5,16,0,0,28.25
